disease	mesh_id	drug	phase	start_date	completion_date	nct_id
Carcinoma, Non-Small-Cell Lung	D002289	afatinib	Phase 1	2009	2020	NCT01999985;NCT03054038;NCT04448379;NCT02191891;NCT03827070;NCT01090011;NCT03711422;NCT00993499;NCT01647711;NCT02364609;NCT01288430
Carcinoma, Non-Small-Cell Lung	D002289	afatinib	Phase 2	2007	2020	NCT03623750;NCT02716311;NCT03399669;NCT02470065;NCT04470076;NCT02450656;NCT01003899;NCT00525148;NCT04148898;NCT02488694;NCT01415011;NCT02183883;NCT02795156;NCT02369484;NCT02597946;NCT02906163;NCT01542437;NCT04497584;NCT00730925;NCT00711594;NCT03574402;NCT01932229;NCT02747953;NCT03727724;NCT03157089;NCT01746251;NCT02098954;NCT00796549;NCT02595840;NCT01156545;NCT03810872
Carcinoma, Non-Small-Cell Lung	D002289	afatinib	Phase 3	2008	2015	NCT01814553;NCT01523587;NCT00949650;NCT02438722;NCT00656136;NCT01121393;NCT01085136;NCT02044380;NCT01953913;NCT01853826
Carcinoma, Non-Small-Cell Lung	D002289	afatinib	Phase 4	2014	2020	NCT02514174;NCT02695290;NCT02208843;NCT04413201;NCT04356118
Carcinoma	D002277	afatinib	Phase 1	2011	2020	NCT02451553;NCT03652233;NCT01288430;NCT03878524
Carcinoma	D002277	afatinib	Phase 2	2007	2020	NCT04183712;NCT03088059;NCT02541903;NCT02795156;NCT01608022;NCT01824823;NCT00514943;NCT02353936;NCT01415674;NCT01538381;NCT02465060;NCT02491099;NCT03940976;NCT03157089;NCT04533321;NCT03486509
Carcinoma	D002277	afatinib	Phase 3	2011	2012	NCT01427478;NCT01523587;NCT01345682
Carcinoma	D002277	afatinib	Phase 4	2018	2018	NCT04132102
Carcinoma, Squamous Cell	D002294	afatinib	Phase 1	2012	2018	NCT01721525;NCT03652233
Carcinoma, Squamous Cell	D002294	afatinib	Phase 2	2007	2020	NCT03088059;NCT02541903;NCT03695510;NCT01608022;NCT01824823;NCT00514943;NCT02353936;NCT01415674;NCT01538381;NCT03940976;NCT03157089;NCT02979977;NCT04533321;NCT01732640;NCT03486509
Carcinoma, Squamous Cell	D002294	afatinib	Phase 3	2011	2012	NCT01427478;NCT01345682
Carcinoma, Squamous Cell	D002294	afatinib	Phase 4	2018	2018	NCT04132102
Squamous Cell Carcinoma of Head and Neck	D000077195	afatinib	Phase 1	2013	2018	NCT01783587;NCT03652233
Squamous Cell Carcinoma of Head and Neck	D000077195	afatinib	Phase 2	2012	2019	NCT03088059;NCT03695510;NCT01824823;NCT01415674;NCT01538381;NCT01732640
Squamous Cell Carcinoma of Head and Neck	D000077195	afatinib	Phase 3	2011	2011	NCT01427478
Neoplasms, Squamous Cell	D018307	afatinib	Phase 1	2012	2012	NCT01721525
Neoplasms, Squamous Cell	D018307	afatinib	Phase 2	2017	2017	NCT02979977
Gallbladder Neoplasms	D005706	afatinib	Phase 2	2019	2019	NCT04183712
Breast Neoplasms	D001943	afatinib	Phase 1	2009	2020	NCT00950742;NCT01649271;NCT03878524
Breast Neoplasms	D001943	afatinib	Phase 2	2006	2020	NCT00431067;NCT01441596;NCT00708214;NCT01594177;NCT02768337;NCT01271725;NCT01325428;NCT01531764;NCT02465060;NCT00826267;NCT02115048;NCT04158947;NCT02511847;NCT00425854
Breast Neoplasms	D001943	afatinib	Phase 3	2010	2010	NCT01125566
Lung Neoplasms	D008175	afatinib	Phase 1	2011	2020	NCT01999985;NCT04448379;NCT03827070;NCT03711422;NCT02364609;NCT01836341;NCT01288430
Lung Neoplasms	D008175	afatinib	Phase 2	2008	2020	NCT02716311;NCT03399669;NCT02470065;NCT04470076;NCT04148898;NCT02488694;NCT01415011;NCT01480141;NCT02906163;NCT01542437;NCT02625168;NCT04497584;NCT02768337;NCT00711594;NCT02747953;NCT02629523;NCT02465060;NCT03157089;NCT02271906;NCT01466660;NCT01156545
Lung Neoplasms	D008175	afatinib	Phase 3	2015	2015	NCT02438722
Lung Neoplasms	D008175	afatinib	Phase 4	2020	2020	NCT04356118
Colorectal Neoplasms	D015179	afatinib	Phase 2	2006	2015	NCT00801294;NCT02450656;NCT02465060;NCT01919879;NCT01152437
Pancreatic Neoplasms	D010190	afatinib	Phase 1	2015	2020	NCT02451553;NCT02975141;NCT03878524
Pancreatic Neoplasms	D010190	afatinib	Phase 2	2015	2015	NCT02450656;NCT02465060
Carcinoma, Ductal	D044584	afatinib	Phase 1	2015	2015	NCT02451553
Multiple Myeloma	D009101	afatinib	Phase 1	2020	2020	NCT03878524
Multiple Myeloma	D009101	afatinib	Phase 2	2015	2016	NCT02693535;NCT04439136;NCT02465060
Lymphoma, Non-Hodgkin	D008228	afatinib	Phase 1	2020	2020	NCT03878524
Lymphoma, Non-Hodgkin	D008228	afatinib	Phase 2	2016	2016	NCT02693535
Glioblastoma	D005909	afatinib	Phase 1	2009	2009	NCT00977431
Brain Neoplasms	D001932	afatinib	Phase 1	2016	2016	NCT02423525
Brain Neoplasms	D001932	afatinib	Phase 2	2015	2020	NCT02768337;NCT04158947
Head and Neck Neoplasms	D006258	afatinib	Phase 2	2007	2019	NCT03695510;NCT00514943;NCT02979977
Head and Neck Neoplasms	D006258	afatinib	Phase 3	2011	2014	NCT01345669;NCT01345682;NCT02131155;NCT01856478
Gastrointestinal Neoplasms	D005770	afatinib	Phase 2	2015	2015	NCT02450656
Digestive System Neoplasms	D004067	afatinib	Phase 2	2015	2015	NCT02450656
Adenocarcinoma	D000230	afatinib	Phase 1	2020	2020	NCT03878524
Adenocarcinoma	D000230	afatinib	Phase 2	2009	2020	NCT01003899;NCT04201756;NCT01466660;NCT02876081
Adenocarcinoma	D000230	afatinib	Phase 3	2009	2010	NCT00949650;NCT01121393
Adenocarcinoma of Lung	D000077192	afatinib	Phase 2	2009	2020	NCT01003899;NCT04201756;NCT01466660
Neoplasm Metastasis	D009362	afatinib	Phase 1	2012	2018	NCT01679405;NCT03711422
Neoplasm Metastasis	D009362	afatinib	Phase 2	2011	2020	NCT04148898;NCT01441596;NCT02142036;NCT03785249;NCT04158947
Neoplasm Metastasis	D009362	afatinib	Phase 4	2020	2020	NCT04356118
Neoplasms, Second Primary	D016609	afatinib	Phase 2	2014	2020	NCT04148898;NCT02142036;NCT04158947
Neoplasms, Second Primary	D016609	afatinib	Phase 4	2020	2020	NCT04356118
Meningeal Carcinomatosis	D055756	afatinib	Phase 2	2019	2019	NCT04148898
Meningeal Carcinomatosis	D055756	afatinib	Phase 4	2020	2020	NCT04356118
Stomach Neoplasms	D013274	afatinib	Phase 1	2012	2012	NCT01649271
Stomach Neoplasms	D013274	afatinib	Phase 2	2013	2016	NCT02501603;NCT02465060;NCT01743365
Urologic Neoplasms	D014571	afatinib	Phase 2	2016	2016	NCT02780687
Lymphoma	D008223	afatinib	Phase 1	2020	2020	NCT03878524
Lymphoma	D008223	afatinib	Phase 2	2015	2015	NCT04439136;NCT02465060
Neoplasms, Plasma Cell	D054219	afatinib	Phase 1	2020	2020	NCT03878524
Neoplasms, Plasma Cell	D054219	afatinib	Phase 2	2015	2015	NCT04439136;NCT02465060
Prostatic Neoplasms	D011471	afatinib	Phase 1	2020	2020	NCT03878524
Prostatic Neoplasms	D011471	afatinib	Phase 2	2006	2015	NCT00706628;NCT02465060;NCT01320280
Urinary Bladder Neoplasms	D001749	afatinib	Phase 2	2013	2015	NCT02122172;NCT02465060
Urethral Neoplasms	D014523	afatinib	Phase 2	2013	2013	NCT02122172
Ureteral Neoplasms	D014516	afatinib	Phase 2	2013	2013	NCT02122172
Carcinoma, Transitional Cell	D002295	afatinib	Phase 2	2016	2016	NCT02795156
Esophageal Squamous Cell Carcinoma	D000077277	afatinib	Phase 2	2012	2019	NCT01608022;NCT02353936;NCT03940976
Chordoma	D002817	afatinib	Phase 2	2018	2018	NCT03083678
Rhabdomyosarcoma	D012208	afatinib	Phase 2	2015	2015	NCT02372006
Neuroectodermal Tumors	D017599	afatinib	Phase 2	2015	2015	NCT02372006
Neuroectodermal Tumors, Primitive	D018242	afatinib	Phase 2	2015	2015	NCT02372006
Esophageal Neoplasms	D004938	afatinib	Phase 2	2014	2015	NCT02274012;NCT02353936;NCT02465060
Meningeal Neoplasms	D008577	afatinib	Phase 1	2018	2018	NCT03711422
Inflammatory Breast Neoplasms	D058922	afatinib	Phase 2	2011	2011	NCT01325428
Melanoma	D008545	afatinib	Phase 2	2015	2015	NCT02465060
Glioma	D005910	afatinib	Phase 2	2008	2015	NCT02465060;NCT00727506
Endometrial Neoplasms	D016889	afatinib	Phase 2	2015	2015	NCT02465060
Ovarian Neoplasms	D010051	afatinib	Phase 2	2015	2015	NCT02465060
Carcinoma, Ovarian Epithelial	D000077216	afatinib	Phase 2	2015	2015	NCT02465060
Rectal Neoplasms	D012004	afatinib	Phase 2	2015	2015	NCT02465060
Thyroid Neoplasms	D013964	afatinib	Phase 2	2015	2015	NCT02465060
Uterine Neoplasms	D014594	afatinib	Phase 2	2015	2015	NCT02465060
Colonic Neoplasms	D003110	afatinib	Phase 2	2015	2015	NCT02465060
Carcinoma, Hepatocellular	D006528	afatinib	Phase 2	2015	2015	NCT02465060
Skin Neoplasms	D012878	afatinib	Phase 2	2015	2015	NCT02465060
Carcinoma, Renal Cell	D002292	afatinib	Phase 2	2015	2015	NCT02465060
Kidney Neoplasms	D007680	afatinib	Phase 2	2015	2015	NCT02465060
Cystadenocarcinoma, Serous	D018284	afatinib	Phase 2	2015	2015	NCT02491099
Triple Negative Breast Neoplasms	D064726	afatinib	Phase 2	2015	2015	NCT02511847
Small Cell Lung Carcinoma	D055752	afatinib	Phase 2	2017	2017	NCT02876081
Leukemia	D007938	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Myeloid	D007951	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Myeloid, Acute	D015470	afatinib	Phase 1	2020	2020	NCT03878524
Preleukemia	D011289	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Lymphoid	D007945	afatinib	Phase 1	2020	2020	NCT03878524
Precursor Cell Lymphoblastic Leukemia-Lymphoma	D054198	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Lymphocytic, Chronic, B-Cell	D015451	afatinib	Phase 1	2020	2020	NCT03878524
Hodgkin Disease	D006689	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	D015464	afatinib	Phase 1	2020	2020	NCT03878524
Hematologic Neoplasms	D019337	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Myelomonocytic, Chronic	D015477	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Myelomonocytic, Juvenile	D054429	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Myeloid, Chronic-Phase	D015466	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Myeloid, Accelerated Phase	D015465	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative	D054438	afatinib	Phase 1	2020	2020	NCT03878524
Blast Crisis	D001752	afatinib	Phase 1	2020	2020	NCT03878524
Leukemia	D007938	imatinib	Phase 1	2001	2020	NCT00064285;NCT00025415;NCT00100997;NCT00352677;NCT00301093;NCT00686218;NCT00827138;NCT00233961;NCT00258271;NCT01933906;NCT00040105;NCT00101088;NCT00047502;NCT04260022;NCT00860535;NCT02081378;NCT00064233;NCT00066326;NCT00428909;NCT01460498;NCT00004932;NCT00103701;NCT01077544;NCT01397734;NCT00316953;NCT01066468;NCT01795716;NCT00268229;NCT00852709;NCT00346632;NCT00324077;NCT03228303;NCT00306202;NCT01751425;NCT01214655;NCT01426334;NCT03878524;NCT01130688
Leukemia	D007938	imatinib	Phase 2	2000	2020	NCT00041990;NCT01746836;NCT00388895;NCT00053248;NCT00427791;NCT02538926;NCT01319981;NCT04626024;NCT00101816;NCT02767063;NCT00815321;NCT02001818;NCT00702403;NCT01602952;NCT00335868;NCT01312818;NCT01804985;NCT00149136;NCT00171912;NCT00276926;NCT00219752;NCT00015847;NCT01429610;NCT00219726;NCT00045422;NCT01392170;NCT00079313;NCT00363649;NCT00061945;NCT00811070;NCT00661180;NCT01916785;NCT00376467;NCT00594555;NCT00451997;NCT00070499;NCT01227356;NCT00114959;NCT00375219;NCT00049192;NCT00244829;NCT00054431;NCT00093639;NCT01011998;NCT00895297;NCT00038649;NCT01802450;NCT00219765;NCT01872442;NCT00416884;NCT02852486;NCT02709083;NCT00199186;NCT00493181;NCT00769327;NCT00088231;NCT00171249;NCT00267085;NCT04578847;NCT00415909;NCT00529763;NCT00042003;NCT03023046;NCT01593254;NCT01690065;NCT00015834;NCT04070443;NCT01005914;NCT00110058;NCT00882206;NCT01383447;NCT00015860;NCT00866736;NCT03516279;NCT00511303;NCT00852566;NCT03578367;NCT00990249;NCT02115672;NCT01092741;NCT00511069;NCT00006475;NCT00130195;NCT01004497;NCT02896842;NCT04126681;NCT00320190;NCT00028847;NCT00298987;NCT00384228;NCT00103844;NCT00287105;NCT00154349;NCT00337454;NCT00511121;NCT01725204;NCT00112775;NCT00101647;NCT04006847;NCT01126814;NCT00101660;NCT01698905;NCT03241199;NCT00499889;NCT04147533;NCT01279473;NCT00466726;NCT00042016;NCT01188889;NCT01003054;NCT01227135;NCT00510926;NCT00167180;NCT00058747;NCT04043676;NCT02398825;NCT00036738;NCT00006052;NCT00458848;NCT00081133;NCT01914484;NCT00038610;NCT00048672;NCT00750659;NCT00973752;NCT00039377;NCT00777036;NCT00982488;NCT01221376;NCT00618501;NCT00101595;NCT01616238;NCT00955916;NCT00905398;NCT01030718;NCT00573378;NCT00006053;NCT00261846;NCT00022490;NCT00858806;NCT00469014;NCT02888990;NCT00210119;NCT00415857;NCT00171223;NCT01844765;NCT00509093;NCT01005758;NCT00558961;NCT00030394;NCT03610971;NCT01724879;NCT00514969;NCT00109707;NCT00136409;NCT01641107;NCT01503502;NCT02687425;NCT00763763;NCT01883219;NCT00482703
Leukemia	D007938	imatinib	Phase 3	1993	2020	NCT01275196;NCT00327262;NCT00514488;NCT00327678;NCT00022737;NCT02272777;NCT00137111;NCT01126892;NCT04375683;NCT03459534;NCT03515018;NCT03746054;NCT03722420;NCT01085617;NCT00123487;NCT00362466;NCT02174445;NCT00237120;NCT01511289;NCT00760877;NCT00519090;NCT00002514;NCT01650805;NCT00050531;NCT02326311;NCT02881086;NCT03624530;NCT00574873;NCT01755325;NCT02627677;NCT02130557;NCT00219739;NCT03589326;NCT00006343;NCT01819389;NCT00349518;NCT01254188;NCT04307576;NCT00333840;NCT02108951;NCT02103322;NCT00124748;NCT00481247;NCT03007147;NCT00795756;NCT00471497;NCT00123474;NCT00802841;NCT00055874;NCT01460693;NCT02115386;NCT00264160
Leukemia	D007938	imatinib	Phase 4	2003	2016	NCT01491763;NCT00644878;NCT01660906;NCT00461929;NCT00980018;NCT01043874;NCT02602314;NCT02894645;NCT00390897;NCT02317159;NCT00845221;NCT01368523;NCT01901666;NCT01243489;NCT01131325;NCT00171899;NCT00081926;NCT02204722;NCT00786812
Lung Neoplasms	D008175	imatinib	Phase 1	2002	2003	NCT00052494;NCT00045604
Lung Neoplasms	D008175	imatinib	Phase 2	2002	2016	NCT00408460;NCT02127372;NCT01083589;NCT00248482;NCT01019798;NCT01011075;NCT00323362;NCT00222144;NCT00425646;NCT00193349;NCT00156286;NCT00052949;NCT02954523
Lung Neoplasms	D008175	imatinib	Phase 4	2017	2017	NCT03264794
Carcinoma, Non-Small-Cell Lung	D002289	imatinib	Phase 2	2004	2016	NCT00408460;NCT02127372;NCT01083589;NCT01019798;NCT01011075;NCT00323362;NCT00425646;NCT02954523
Carcinoma, Non-Small-Cell Lung	D002289	imatinib	Phase 4	2017	2017	NCT03264794
Pleural Effusion, Malignant	D016066	imatinib	Phase 2	2006	2006	NCT00408460
Gastrointestinal Stromal Tumors	D046152	imatinib	Phase 1	2001	2020	NCT00025415;NCT01735968;NCT02268435;NCT04006769;NCT01270984;NCT00573404;NCT01751919;NCT01468688;NCT04276415;NCT00135005;NCT02185937;NCT02164240;NCT01738139;NCT00441155;NCT02508532
Gastrointestinal Stromal Tumors	D046152	imatinib	Phase 2	2000	2020	NCT00500188;NCT00117299;NCT03171389;NCT02889328;NCT01275222;NCT01091207;NCT00265798;NCT00585221;NCT00385203;NCT01389583;NCT00025246;NCT03556384;NCT01907607;NCT00089960;NCT02216578;NCT04106024;NCT00237172;NCT00457743;NCT01267695;NCT04193553;NCT01391611;NCT02607332;NCT02712112;NCT00290485;NCT02336724;NCT03609424;NCT03165721;NCT00254267;NCT00718562;NCT00030667;NCT00028002;NCT01483014;NCT04258956;NCT02342600;NCT00867113;NCT01524848;NCT01440959;NCT01068769;NCT01172548;NCT00112632;NCT00769782;NCT04138381;NCT03291054;NCT00940563;NCT00006357;NCT04633122;NCT01478373;NCT02257541;NCT00359333;NCT02365441;NCT00618319;NCT03440515;NCT00633295;NCT00137449;NCT00455559;NCT00237185;NCT01110668;NCT00278876;NCT01294202;NCT01541709;NCT01991379;NCT00091078;NCT01039519;NCT03944304;NCT02401815;NCT01323400;NCT00570635;NCT01506336;NCT00764595;NCT00782834
Gastrointestinal Stromal Tumors	D046152	imatinib	Phase 3	2000	2020	NCT01694277;NCT03426722;NCT00785785;NCT00471328;NCT00372567;NCT00367861;NCT01031628;NCT03673501;NCT00751036;NCT00103168;NCT00041197;NCT01271712;NCT00956072;NCT03465722;NCT00812240;NCT01289028;NCT00075218;NCT00116935;NCT00688766;NCT02576080;NCT04409223;NCT01151852;NCT02103322;NCT00324987;NCT00009906;NCT00293124;NCT02260505;NCT03353753;NCT00685828
Gastrointestinal Stromal Tumors	D046152	imatinib	Phase 4	2004	2008	NCT00510354;NCT00171977;NCT00793871
Melanoma	D008545	imatinib	Phase 1	2013	2013	NCT01738139
Melanoma	D008545	imatinib	Phase 2	2001	2020	NCT00881049;NCT04546074;NCT00470470;NCT00074308;NCT02812693;NCT00667953;NCT01099514;NCT01782508;NCT00788775;NCT00027586;NCT00402662;NCT00421317;NCT04598009;NCT00424515
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	D015464	imatinib	Phase 1	2001	2020	NCT00025415;NCT00100997;NCT00352677;NCT00455221;NCT00301093;NCT00827138;NCT00233961;NCT00258271;NCT01270984;NCT01933906;NCT00040105;NCT00101088;NCT00047502;NCT04260022;NCT00860535;NCT02081378;NCT01751919;NCT00064233;NCT00066326;NCT00428909;NCT01460498;NCT00103701;NCT01077544;NCT01397734;NCT00316953;NCT01066468;NCT01795716;NCT00852709;NCT00346632;NCT00324077;NCT03228303;NCT01751425;NCT01426334;NCT03878524;NCT01130688
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	D015464	imatinib	Phase 2	2000	2020	NCT00171158;NCT00041990;NCT01746836;NCT00053248;NCT04626024;NCT00101816;NCT02767063;NCT00815321;NCT02001818;NCT00702403;NCT01602952;NCT00335868;NCT01804985;NCT00219752;NCT00015847;NCT00219726;NCT00045422;NCT01392170;NCT00079313;NCT00811070;NCT00661180;NCT01916785;NCT00594555;NCT00070499;NCT01227356;NCT00114959;NCT00375219;NCT00049192;NCT01774630;NCT00481052;NCT00054431;NCT00093639;NCT01011998;NCT00895297;NCT00038649;NCT01802450;NCT00219765;NCT01872442;NCT02852486;NCT02709083;NCT00199186;NCT00493181;NCT00769327;NCT00088231;NCT02480608;NCT00171249;NCT00267085;NCT04578847;NCT00415909;NCT00042003;NCT01593254;NCT01690065;NCT00015834;NCT04070443;NCT00146913;NCT00110058;NCT00015860;NCT03205267;NCT00866736;NCT03516279;NCT00511303;NCT00852566;NCT03578367;NCT02115672;NCT01092741;NCT00006475;NCT02896842;NCT04126681;NCT00320190;NCT00028847;NCT00298987;NCT00384228;NCT00103844;NCT02949570;NCT00337454;NCT00511121;NCT01725204;NCT00112775;NCT00101647;NCT04006847;NCT00101660;NCT01698905;NCT03241199;NCT04147533;NCT02268370;NCT01279473;NCT00466726;NCT00042016;NCT01188889;NCT01003054;NCT01227135;NCT00510926;NCT00167180;NCT00058747;NCT04043676;NCT02398825;NCT00036738;NCT00006052;NCT00081133;NCT01914484;NCT00048672;NCT00750659;NCT03906292;NCT00982488;NCT01221376;NCT00101595;NCT01030718;NCT00573378;NCT00006053;NCT00261846;NCT00022490;NCT00858806;NCT00469014;NCT00210119;NCT03193281;NCT00171223;NCT01844765;NCT01866553;NCT00030394;NCT03610971;NCT00514969;NCT00109707;NCT01503502;NCT02888964;NCT02687425;NCT00763763;NCT00482703
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	D015464	imatinib	Phase 3	2000	2019	NCT01275196;NCT00327262;NCT00514488;NCT02272777;NCT01827930;NCT01126892;NCT03459534;NCT03515018;NCT03746054;NCT03722420;NCT00123487;NCT00362466;NCT02174445;NCT00237120;NCT01511289;NCT00760877;NCT00519090;NCT01650805;NCT00050531;NCT02326311;NCT00574873;NCT00297570;NCT01400074;NCT01755325;NCT02627677;NCT02130557;NCT01743989;NCT00219739;NCT00006343;NCT01819389;NCT00349518;NCT01254188;NCT00333840;NCT02108951;NCT02103322;NCT00124748;NCT00481247;NCT00471497;NCT00123474;NCT00802841;NCT00055874;NCT01460693;NCT02115386;NCT00264160
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	D015464	imatinib	Phase 4	2003	2016	NCT02086487;NCT00644878;NCT01660906;NCT00461929;NCT00980018;NCT01043874;NCT02602314;NCT00390897;NCT02317159;NCT00845221;NCT01368523;NCT01901666;NCT01243489;NCT01131325;NCT00171899;NCT00081926;NCT02204722;NCT01578213;NCT00786812
Blast Crisis	D001752	imatinib	Phase 1	2001	2020	NCT00025415;NCT00258271;NCT00101088;NCT00860535;NCT00103701;NCT00316953;NCT03878524
Blast Crisis	D001752	imatinib	Phase 2	2000	2013	NCT00171158;NCT00101816;NCT00702403;NCT00594555;NCT00114959;NCT00054431;NCT00199186;NCT00042003;NCT01690065;NCT00015834;NCT00006475;NCT00081133;NCT01914484;NCT00101595;NCT00514969;NCT00763763
Blast Crisis	D001752	imatinib	Phase 3	2009	2009	NCT01126892
Blast Crisis	D001752	imatinib	Phase 4	2008	2008	NCT01368523;NCT00786812
Leukemia, Myeloid	D007951	imatinib	Phase 1	2001	2020	NCT00025415;NCT00100997;NCT00352677;NCT00455221;NCT01933906;NCT00040105;NCT00101088;NCT00047502;NCT04260022;NCT00860535;NCT02081378;NCT00064233;NCT00066326;NCT00428909;NCT01460498;NCT00103701;NCT01077544;NCT01397734;NCT00316953;NCT01066468;NCT01795716;NCT00852709;NCT00346632;NCT00324077;NCT03228303;NCT01751425;NCT01426334;NCT03878524;NCT01130688
