D000070818	Discoidin Domain Receptors	Receptors, Discoidin Domain
D000070819	Discoidin Domain Receptor 1	
D000070820	Discoidin Domain Receptor 2	
D000071158	Leucine-Rich Repeat Serine-Threonine Protein Kinase-2	Leucine Rich Repeat Serine Threonine Protein Kinase 2
D000071189	Autophagy-Related Protein-1 Homolog	Autophagy Related Protein 1 Homolog
D000071677	Histidine Kinase	Kinase, Histidine
D000071679	Glycogen Synthase Kinase 3 beta	
D000071877	Checkpoint Kinase 1	
D000072377	Syk Kinase	Kinase, Syk
D000072379	NIMA-Related Kinases	Kinases, NIMA-Related; NIMA Related Kinases
D000072380	NIMA-Related Kinase 1	NIMA Related Kinase 1
D000074121	Protein Kinase C-theta	
D000076202	c-Mer Tyrosine Kinase	Kinase, c-Mer Tyrosine; Tyrosine Kinase, c-Mer; c Mer Tyrosine Kinase
D000076204	WNK Lysine-Deficient Protein Kinase 1	WNK Lysine Deficient Protein Kinase 1
D000076222	Mechanistic Target of Rapamycin Complex 1	
D000076223	Regulatory-Associated Protein of mTOR	Regulatory Associated Protein of mTOR; mTOR Regulatory-Associated Protein
D000076225	Mechanistic Target of Rapamycin Complex 2	
D000076226	Rapamycin-Insensitive Companion of mTOR Protein	Rapamycin Insensitive Companion of mTOR Protein
D000076242	mTOR Associated Protein, LST8 Homolog	
D000077293	Receptor, Transforming Growth Factor-beta Type I	
D000077294	Receptor, Transforming Growth Factor-beta Type II	Receptor, Transforming Growth Factor beta Type II
D000077329	Agammaglobulinaemia Tyrosine Kinase	Kinase, Agammaglobulinaemia Tyrosine; Tyrosine Kinase, Agammaglobulinaemia
D000077548	Anaplastic Lymphoma Kinase	
D000081247	CSK Tyrosine-Protein Kinase	CSK Tyrosine Protein Kinase; Kinase, CSK Tyrosine-Protein; Tyrosine-Protein Kinase, CSK
D000081382	Pyruvate Dehydrogenase Acetyl-Transferring Kinase	Pyruvate Dehydrogenase Acetyl Transferring Kinase
D000081410	Germinal Center Kinases	Center Kinases, Germinal; Kinases, Germinal Center
D006656	Protamine Kinase	Kinase, Protamine
D009219	Myosin-Light-Chain Kinase	Kinase, Myosin-Light-Chain; Myosin Light Chain Kinase
D010764	Phosphorylase Kinase	Kinase, Phosphorylase
D011493	Protein Kinase C	
D011494	Protein Kinases	Kinases, Protein
D011505	Protein-Tyrosine Kinases	Kinases, Protein-Tyrosine; Protein Tyrosine Kinases
D011958	[OBSOLETE] Receptor, Epidermal Growth Factor	
D011972	Receptor, Insulin	
D015688	Oncogene Protein pp60(v-src)	
D016044	Fusion Proteins, bcr-abl	Fusion Proteins, bcr abl
D016186	Receptor, Macrophage Colony-Stimulating Factor	Receptor, Macrophage Colony Stimulating Factor
D016200	Maturation-Promoting Factor	Maturation Promoting Factor
D016203	CDC2 Protein Kinase	Protein Kinase, CDC2
D016315	Proto-Oncogene Proteins c-abl	Proto Oncogene Proteins c abl; c-abl, Proto-Oncogene Proteins
D016392	Proto-Oncogene Proteins pp60(c-src)	
D017231	Proto-Oncogene Proteins c-mos	Proteins c-mos, Proto-Oncogene; Proto Oncogene Proteins c mos; c-mos, Proto-Oncogene Proteins
D017346	Protein-Serine-Threonine Kinases	Kinases, Protein-Serine-Threonine; Protein Serine Threonine Kinases
D017479	Receptors, Platelet-Derived Growth Factor	Receptors, Platelet Derived Growth Factor
D017489	CDC28 Protein Kinase, S cerevisiae	
D017526	Receptor, IGF Type 1	
D017867	Cyclic Nucleotide-Regulated Protein Kinases	Cyclic Nucleotide Regulated Protein Kinases
D017868	Cyclic AMP-Dependent Protein Kinases	Cyclic AMP Dependent Protein Kinases
D017869	Cyclic GMP-Dependent Protein Kinases	Cyclic GMP Dependent Protein Kinases
D017871	Calcium-Calmodulin-Dependent Protein Kinases	Protein Kinases, Calcium-Calmodulin-Dependent
D018719	Receptor, ErbB-2	ErbB-2 Receptor
D018844	Cyclin-Dependent Kinases	Cyclin Dependent Kinases
D019009	Proto-Oncogene Proteins c-kit	Proto Oncogene Proteins c kit; c-kit, Proto-Oncogene Proteins
D019061	src-Family Kinases	src Family Kinases
D019859	Proto-Oncogene Proteins c-met	Proto Oncogene Proteins c met
D019860	Lymphocyte Specific Protein Tyrosine Kinase p56(lck)	
D019892	eIF-2 Kinase	Kinase, eIF-2; eIF 2 Kinase
D019893	Ribosomal Protein S6 Kinases	
D019908	Proto-Oncogene Proteins c-raf	Proteins c-raf, Proto-Oncogene; Proto Oncogene Proteins c raf; c-raf, Proto-Oncogene Proteins
D019950	Mitogen-Activated Protein Kinase 1	Mitogen Activated Protein Kinase 1
D020794	Receptor Protein-Tyrosine Kinases	Kinases, Receptor Protein-Tyrosine; Protein-Tyrosine Kinases, Receptor; Receptor Protein Tyrosine Kinases
D020796	Receptor, Platelet-Derived Growth Factor alpha	
D020797	Receptor, Platelet-Derived Growth Factor beta	Receptor, Platelet Derived Growth Factor beta
D020812	Receptor, trkC	
D020813	Receptor, trkB	
D020893	Receptor, ErbB-3	ErbB-3 Receptor; Receptor, ErbB 3
D020917	Receptor, trkA	
D020928	Mitogen-Activated Protein Kinases	Kinases, Mitogen-Activated Protein; Mitogen Activated Protein Kinases; Protein Kinases, Mitogen-Activated
D020929	Mitogen-Activated Protein Kinase Kinases	Mitogen Activated Protein Kinase Kinases
D020930	MAP Kinase Kinase Kinases	
D027384	Oncogene Proteins v-raf	Oncogene Proteins v raf; Proteins v-raf, Oncogene; v-raf, Oncogene Proteins
D029404	Activin Receptors	
D030201	Activin Receptors, Type I	
D030301	Activin Receptors, Type II	
D036081	Receptors, Eph Family	
D036082	Receptor, EphA1	
D036104	Receptor, EphA2	
D036121	Receptor, EphA3	
D036122	Receptor, EphA4	
D036123	Receptor, EphA5	
D036124	Receptor, EphA6	
D036141	Receptor, EphA7	
D036143	Receptor, EphA8	
D036183	Receptor, EphB2	
D036201	Receptor, EphB5	
D036223	Receptor, EphB3	
D036224	Receptor, EphB4	
D036225	Receptor, EphB1	
D038341	Glycogen Synthase Kinases	Kinases, Glycogen Synthase
D038362	Glycogen Synthase Kinase 3	
D038461	Proline-Directed Protein Kinases	Kinases, Proline-Directed Protein; Proline Directed Protein Kinases; Protein Kinases, Proline-Directed
D038744	Ribosomal Protein S6 Kinases, 90-kDa	Ribosomal Protein S6 Kinases, 90 kDa
D038762	Ribosomal Protein S6 Kinases, 70-kDa	Ribosomal Protein S6 Kinases, 70 kDa
D040262	Receptors, Vascular Endothelial Growth Factor	
D040281	Vascular Endothelial Growth Factor Receptor-1	Vascular Endothelial Growth Factor Receptor 1
D040301	Vascular Endothelial Growth Factor Receptor-2	Vascular Endothelial Growth Factor Receptor 2
D040321	Vascular Endothelial Growth Factor Receptor-3	Vascular Endothelial Growth Factor Receptor 3
D042764	Receptors, TIE	TIE Receptors
D042787	Receptor, TIE-2	Receptor, TIE 2; TIE-2 Receptor
D042810	Receptor, TIE-1	Receptor, TIE 1; TIE-1 Receptor
D042846	CDC2-CDC28 Kinases	CDC2 CDC28 Kinases
D042863	Cyclin-Dependent Kinase 9	Cyclin Dependent Kinase 9
D042925	Positive Transcriptional Elongation Factor B	
D047388	Casein Kinases	Kinases, Casein
D047389	Casein Kinase I	Kinase I, Casein
D047390	Casein Kinase II	
D048031	JNK Mitogen-Activated Protein Kinases	JNK Mitogen Activated Protein Kinases
D048049	Extracellular Signal-Regulated MAP Kinases	Extracellular Signal Regulated MAP Kinases
D048051	p38 Mitogen-Activated Protein Kinases	p38 Mitogen Activated Protein Kinases
D048052	Mitogen-Activated Protein Kinase 3	Mitogen Activated Protein Kinase 3
D048053	Mitogen-Activated Protein Kinase 6	Mitogen Activated Protein Kinase 6
D048054	Mitogen-Activated Protein Kinase 7	Mitogen Activated Protein Kinase 7
D048055	Mitogen-Activated Protein Kinase 8	Mitogen Activated Protein Kinase 8
D048056	Mitogen-Activated Protein Kinase 9	Mitogen Activated Protein Kinase 9
D048057	Mitogen-Activated Protein Kinase 10	Mitogen Activated Protein Kinase 10
D048128	Casein Kinase Ialpha	
D048148	Casein Kinase Idelta	
D048149	Casein Kinase Iepsilon	
D048290	Mitogen-Activated Protein Kinase 11	Mitogen Activated Protein Kinase 11
D048291	Mitogen-Activated Protein Kinase 12	Mitogen Activated Protein Kinase 12
D048292	Mitogen-Activated Protein Kinase 13	Mitogen Activated Protein Kinase 13
D048308	Mitogen-Activated Protein Kinase 14	Mitogen Activated Protein Kinase 14
D048369	MAP Kinase Kinase 1	
D048370	MAP Kinase Kinase 2	
D048371	MAP Kinase Kinase 3	
D048490	raf Kinases	Kinases, raf
D048493	Proto-Oncogene Proteins B-raf	B-raf, Proto-Oncogene Proteins; Proteins B-raf, Proto-Oncogene; Proto Oncogene Proteins B raf
D048669	MAP Kinase Kinase 6	
D048670	MAP Kinase Kinase 4	
D048671	MAP Kinase Kinase 5	
D048688	MAP Kinase Kinase 7	
D048728	MAP Kinase Kinase Kinase 1	
D048730	MAP Kinase Kinase Kinase 2	
D048748	MAP Kinase Kinase Kinase 3	
D048768	MAP Kinase Kinase Kinase 4	
D048848	MAP Kinase Kinase Kinase 5	
D051057	Proto-Oncogene Proteins c-akt	Proto Oncogene Proteins c akt; c-akt, Proto-Oncogene Proteins
D051058	Oncogene Protein v-akt	Oncogene Protein v akt; v-akt, Oncogene Protein
D051076	Proto-Oncogene Proteins c-fyn	Proteins c-fyn, Proto-Oncogene; Proto Oncogene Proteins c fyn; c-fyn, Proto-Oncogene Proteins
D051096	Proto-Oncogene Proteins c-ret	Proto Oncogene Proteins c ret; c-ret, Proto-Oncogene Proteins
D051357	Cyclin-Dependent Kinase 2	Cyclin Dependent Kinase 2
D051358	Cyclin-Dependent Kinase 4	Cyclin Dependent Kinase 4
D051360	Cyclin-Dependent Kinase 5	Cyclin Dependent Kinase 5
D051361	Cyclin-Dependent Kinase 6	Cyclin Dependent Kinase 6
D051416	Focal Adhesion Protein-Tyrosine Kinases	Focal Adhesion Protein Tyrosine Kinases
D051417	Focal Adhesion Kinase 1	
D051418	Focal Adhesion Kinase 2	
D051496	Receptor, Fibroblast Growth Factor, Type 1	
D051497	Receptor, Fibroblast Growth Factor, Type 2	
D051498	Receptor, Fibroblast Growth Factor, Type 3	
D051499	Receptor, Fibroblast Growth Factor, Type 4	
D051550	I-kappa B Kinase	B Kinase, I-kappa; Kinase, I-kappa B
D051552	beta-Adrenergic Receptor Kinases	Receptor Kinases, beta-Adrenergic; beta Adrenergic Receptor Kinases
D051562	Proto-Oncogene Proteins c-bcr	Proto Oncogene Proteins c bcr; c-bcr, Proto-Oncogene Proteins
D051571	Protein Kinase C-alpha	
D051572	Proto-Oncogene Proteins c-hck	Proto Oncogene Proteins c hck
D051573	Proto-Oncogene Proteins c-pim-1	Proto Oncogene Proteins c pim 1; c-pim-1, Proto-Oncogene Proteins
D051575	Proto-Oncogene Proteins c-yes	Proto Oncogene Proteins c yes; c-yes, Proto-Oncogene Proteins
D051578	Proto-Oncogene Proteins c-fes	Proto Oncogene Proteins c fes; c-fes, Proto-Oncogene Proteins
D051606	G-Protein-Coupled Receptor Kinase 1	G Protein Coupled Receptor Kinase 1
D051744	Protein Kinase C-epsilon	Kinase C-epsilon, Protein
D051745	Protein Kinase C-delta	Kinase C-delta, Protein; Protein Kinase C delta
D051746	ZAP-70 Protein-Tyrosine Kinase	Protein-Tyrosine Kinase, ZAP-70; ZAP 70 Protein Tyrosine Kinase
D051747	DNA-Activated Protein Kinase	DNA Activated Protein Kinase; Kinase, DNA-Activated Protein; Protein Kinase, DNA-Activated
D051941	fms-Like Tyrosine Kinase 3	fms Like Tyrosine Kinase 3
D051942	Phytochrome A	
D052004	Bone Morphogenetic Protein Receptors	
D052005	Bone Morphogenetic Protein Receptors, Type I	
D052006	Bone Morphogenetic Protein Receptors, Type II	
D053422	Receptor-Interacting Protein Serine-Threonine Kinases	Receptor Interacting Protein Serine Threonine Kinases
D053475	Receptor-Interacting Protein Serine-Threonine Kinase 2	Receptor Interacting Protein Serine Threonine Kinase 2
D053592	Interleukin-1 Receptor-Associated Kinases	Interleukin 1 Receptor Associated Kinases; Kinases, Interleukin-1 Receptor-Associated; Receptor-Associated Kinases, Interleukin-1
D053612	Janus Kinases	Kinases, Janus
D053613	Janus Kinase 1	
D053614	Janus Kinase 2	
D053616	Janus Kinase 3	Kinase 3, Janus
D053634	TYK2 Kinase	Kinase, TYK2
D054460	rho-Associated Kinases	rho Associated Kinases
D054461	Lim Kinases	Kinases, Lim
D054462	p21-Activated Kinases	Kinases, p21-Activated; p21 Activated Kinases
D054729	Calcium-Calmodulin-Dependent Protein Kinase Type 1	Calcium Calmodulin Dependent Protein Kinase Type 1
D054732	Calcium-Calmodulin-Dependent Protein Kinase Type 2	Calcium Calmodulin Dependent Protein Kinase Type 2
D054734	Calcium-Calmodulin-Dependent Protein Kinase Type 4	Calcium Calmodulin Dependent Protein Kinase Type 4
D054736	Elongation Factor 2 Kinase	
D054737	Calcium-Calmodulin-Dependent Protein Kinase Kinase	Calcium Calmodulin Dependent Protein Kinase Kinase
D054743	Cyclic AMP-Dependent Protein Kinase Type I	Cyclic AMP Dependent Protein Kinase Type I
D054746	Cyclic AMP-Dependent Protein Kinase Type II	Cyclic AMP Dependent Protein Kinase Type II
D054751	Cyclic AMP-Dependent Protein Kinase Catalytic Subunits	Cyclic AMP Dependent Protein Kinase Catalytic Subunits
D054753	Cyclic AMP-Dependent Protein Kinase RIbeta Subunit	Cyclic AMP Dependent Protein Kinase RIbeta Subunit
D054754	Cyclic AMP-Dependent Protein Kinase RIIalpha Subunit	Cyclic AMP Dependent Protein Kinase RIIalpha Subunit
D054756	Cyclic AMP-Dependent Protein Kinase RIalpha Subunit	Cyclic AMP Dependent Protein Kinase RIalpha Subunit
D054757	Cyclic AMP-Dependent Protein Kinase RIIbeta Subunit	Cyclic AMP Dependent Protein Kinase RIIbeta Subunit
D054768	G-Protein-Coupled Receptor Kinases	G Protein Coupled Receptor Kinases; Kinases, G-Protein-Coupled Receptor; Receptor Kinases, G-Protein-Coupled
D054769	G-Protein-Coupled Receptor Kinase 2	G Protein Coupled Receptor Kinase 2
D054770	G-Protein-Coupled Receptor Kinase 3	G Protein Coupled Receptor Kinase 3
D054771	G-Protein-Coupled Receptor Kinase 4	G Protein Coupled Receptor Kinase 4
D054774	G-Protein-Coupled Receptor Kinase 5	G Protein Coupled Receptor Kinase 5
D055372	AMP-Activated Protein Kinases	AMP Activated Protein Kinases
D056849	Cyclin-Dependent Kinase 3	Cyclin Dependent Kinase 3
D056850	Cyclin-Dependent Kinase 8	Cyclin Dependent Kinase 8
D057050	Receptor Tyrosine Kinase-like Orphan Receptors	Receptor Tyrosine Kinase like Orphan Receptors
D058570	TOR Serine-Threonine Kinases	Kinases, TOR Serine-Threonine; Serine-Threonine Kinases, TOR; TOR Serine Threonine Kinases
D058571	Vacuolar Sorting Protein VPS15	
D062965	Cyclic GMP-Dependent Protein Kinase Type I	Cyclic GMP Dependent Protein Kinase Type I
D062967	Cyclic GMP-Dependent Protein Kinase Type II	Cyclic GMP Dependent Protein Kinase Type II
D064007	Ataxia Telangiectasia Mutated Proteins	
D064096	Aurora Kinase A	
D064107	Aurora Kinase B	
D064108	Aurora Kinase C	
D064127	Aurora Kinases	
D064211	Connectin	
D064413	3-Phosphoinositide-Dependent Protein Kinases	3 Phosphoinositide Dependent Protein Kinases; Kinases, 3-Phosphoinositide-Dependent Protein; Protein Kinases, 3-Phosphoinositide-Dependent
D064447	Checkpoint Kinase 2	Kinase 2, Checkpoint
D064546	Protein Kinase C beta	
D064550	Death-Associated Protein Kinases	Death Associated Protein Kinases; Kinases, Death-Associated Protein; Protein Kinases, Death-Associated
D065636	Myotonin-Protein Kinase	Kinase, Myotonin-Protein; Myotonin Protein Kinase
D066246	ErbB Receptors	Receptors, ErbB
D066247	Receptor, ErbB-4	
